start	end	text
0	5000	哎,别催我了,催什么催,你们需要我科普吗?
5000	6720	看看你们这一个月学了什么?
6720	11520	ABF载版,玻璃机版零化音,PCB药水,
11520	15600	铜粉电感电容,宝片光纤,偶和设备,
15600	19840	副铜板数纸铜箔,一代部二代部拉丝工艺支部机,
19840	22680	MOSAP技术,你们懂得肯定比我多,
22680	25840	各位兄弟姐妹们,经过这一个月的充分学习,
25840	29120	终于学懂了开厂投产的整套流产,
29120	33240	其实这时候你不应该去琢磨账户上那几个钱怎么增值了,
33240	37840	而是应该做大做强,整上50亿,立马可以开厂买设备投资了,
37840	38840	学了这么多有用吗?
38840	42200	大多数人只是给自己的高位加仓,找了一些理由罢了,
42200	43480	结果最后什么?一把亏光。
43480	48280	当打开短视频,十个里面八个都在教你新技术和掌架,
48280	52880	还有各个环节,甚至开始钻一些牛脚尖和炒一些边角料的时候,
52880	54600	你懂得越多,你亏得越快,
54600	58680	因为当你的认知全部聚焦于某个微观环节的时候,
58720	61200	你对整个宏观的风险就容易忽视。
61200	65120	当大家看着这个涨价那个涨价对着小表格一阵乱炒的时候,
65120	66720	我们最近在券商的策略会中,
66720	72320	某个在上一轮消费电子牛市里面具备绝对权威的科技手细,
72320	76320	也是现在某个券商的研究所所长跟机构讲了这么一条观点,
76320	78920	未来要规避涨价厉害的领域,
78920	82880	因为扩产是产业共识,价格预期空间有限,
82880	85400	要看扩产环节最受益的链条,
85400	87240	所以知道我为什么不用更新了吧?
87280	89280	开一卷考试你还问答案在哪儿超?
89280	91720	上半厂市涨价,下半厂市扩产,
91720	93760	我们讲了多少个日日业意,
93760	99160	那么今天我们就用这一条长视频来给大家把这15天发生的过去
99160	102360	和下半年大家更关注的未来讲清楚,
102360	106120	率明白,看过去有时候往往比看未来要更清晰。
106120	110640	首先讲一下这一波情绪赶顶加速后出现调整的一个导火所,
110640	113600	那就是MATA要推出的算力租赁服务,
113600	115680	其实这只是一个导火所,
115720	119720	大家可以从近期实际的动作以及公布的新闻来看,
